well,volume,reagent
A1,46.9,Mastermix_PCR
B1,46.9,Mastermix_PCR
C1,46.9,Mastermix_PCR
D1,46.9,Mastermix_PCR
E1,46.9,Mastermix_PCR
A1,2.4,water
B1,2.4,water
C1,0.0,water
D1,0.0,water
E1,0.0,water
