Part,Source Plate Name,Source Well,Destination ID,Destination Plate Name,Destination Well,Volume
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,C3,40
pSCIP_CD69-3_gB_v2,E_pSCIP_coloniesinwater_384PP,A20,0,PCR_0000043,D3,800
CD69-3BR,pSCIP_guideBaits,F6,0,PCR_0000043,D3,20
CD69-3R,pSCIP_guideBaits,B24,0,PCR_0000043,D3,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,D3,40
pSCIP_CD197-3_gB_v3,E_pSCIP_coloniesinwater_384PP,A21,0,PCR_0000043,E3,800
CD197-3BR,pSCIP_guideBaits,F21,0,PCR_0000043,E3,20
CD197-3R,pSCIP_guideBaits,C15,0,PCR_0000043,E3,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,E3,40
pSCIP_CD69-3_gB_v3,E_pSCIP_coloniesinwater_384PP,A22,0,PCR_0000043,F3,800
CD69-3BR,pSCIP_guideBaits,F6,0,PCR_0000043,F3,20
CD69-3R,pSCIP_guideBaits,B24,0,PCR_0000043,F3,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,F3,40
pSCIP_CD197-3_gB_v4,E_pSCIP_coloniesinwater_384PP,A23,0,PCR_0000043,G3,800
CD197-3BR,pSCIP_guideBaits,F21,0,PCR_0000043,G3,20
CD197-3R,pSCIP_guideBaits,C15,0,PCR_0000043,G3,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,G3,40
pSCIP_CD69-3_gB_v4,E_pSCIP_coloniesinwater_384PP,A24,0,PCR_0000043,H3,800
CD69-3BR,pSCIP_guideBaits,F6,0,PCR_0000043,H3,20
CD69-3R,pSCIP_guideBaits,B24,0,PCR_0000043,H3,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,H3,40
pSCIP_CD2-1_gB_v1,E_pSCIP_coloniesinwater_384PP,C1,0,PCR_0000043,A4,800
CD2-1BR,pSCIP_guideBaits,G10,0,PCR_0000043,A4,20
CD2-1R,pSCIP_guideBaits,D4,0,PCR_0000043,A4,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,A4,40
pSCIP_CD7-1_gB_v1,E_pSCIP_coloniesinwater_384PP,C2,0,PCR_0000043,B4,800
CD7-1BR,pSCIP_guideBaits,F7,0,PCR_0000043,B4,20
CD7-1R,pSCIP_guideBaits,C1,0,PCR_0000043,B4,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,B4,40
pSCIP_CD2-1_gB_v2,E_pSCIP_coloniesinwater_384PP,C3,0,PCR_0000043,C4,800
CD2-1BR,pSCIP_guideBaits,G10,0,PCR_0000043,C4,20
CD2-1R,pSCIP_guideBaits,D4,0,PCR_0000043,C4,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,C4,40
pSCIP_CD7-1_gB_v2,E_pSCIP_coloniesinwater_384PP,C4,0,PCR_0000043,D4,800
CD7-1BR,pSCIP_guideBaits,F7,0,PCR_0000043,D4,20
CD7-1R,pSCIP_guideBaits,C1,0,PCR_0000043,D4,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,D4,40
pSCIP_CD2-1_gB_v3,E_pSCIP_coloniesinwater_384PP,C5,0,PCR_0000043,E4,800
CD2-1BR,pSCIP_guideBaits,G10,0,PCR_0000043,E4,20
CD2-1R,pSCIP_guideBaits,D4,0,PCR_0000043,E4,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,E4,40
pSCIP_CD7-1_gB_v3,E_pSCIP_coloniesinwater_384PP,C6,0,PCR_0000043,F4,800
CD7-1BR,pSCIP_guideBaits,F7,0,PCR_0000043,F4,20
CD7-1R,pSCIP_guideBaits,C1,0,PCR_0000043,F4,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,F4,40
pSCIP_CD2-1_gB_v4,E_pSCIP_coloniesinwater_384PP,C7,0,PCR_0000043,G4,800
CD2-1BR,pSCIP_guideBaits,G10,0,PCR_0000043,G4,20
CD2-1R,pSCIP_guideBaits,D4,0,PCR_0000043,G4,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,G4,40
pSCIP_CD7-1_gB_v4,E_pSCIP_coloniesinwater_384PP,C8,0,PCR_0000043,H4,800
CD7-1BR,pSCIP_guideBaits,F7,0,PCR_0000043,H4,20
CD7-1R,pSCIP_guideBaits,C1,0,PCR_0000043,H4,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,H4,40
pSCIP_CD2-2_gB_v1,E_pSCIP_coloniesinwater_384PP,C9,0,PCR_0000043,A5,800
CD2-2BR,pSCIP_guideBaits,G11,0,PCR_0000043,A5,20
CD2-2R,pSCIP_guideBaits,D5,0,PCR_0000043,A5,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,A5,40
pSCIP_CD7-2_gB_v1,E_pSCIP_coloniesinwater_384PP,C10,0,PCR_0000043,B5,800
CD7-2BR,pSCIP_guideBaits,F8,0,PCR_0000043,B5,20
CD7-2R,pSCIP_guideBaits,C2,0,PCR_0000043,B5,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,B5,40
pSCIP_CD2-2_gB_v2,E_pSCIP_coloniesinwater_384PP,C11,0,PCR_0000043,C5,800
CD2-2BR,pSCIP_guideBaits,G11,0,PCR_0000043,C5,20
CD2-2R,pSCIP_guideBaits,D5,0,PCR_0000043,C5,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,C5,40
pSCIP_CD7-2_gB_v2,E_pSCIP_coloniesinwater_384PP,C12,0,PCR_0000043,D5,800
CD7-2BR,pSCIP_guideBaits,F8,0,PCR_0000043,D5,20
CD7-2R,pSCIP_guideBaits,C2,0,PCR_0000043,D5,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,D5,40
pSCIP_CD2-2_gB_v3,E_pSCIP_coloniesinwater_384PP,C13,0,PCR_0000043,E5,800
CD2-2BR,pSCIP_guideBaits,G11,0,PCR_0000043,E5,20
CD2-2R,pSCIP_guideBaits,D5,0,PCR_0000043,E5,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,E5,40
pSCIP_CD7-2_gB_v3,E_pSCIP_coloniesinwater_384PP,C14,0,PCR_0000043,F5,800
CD7-2BR,pSCIP_guideBaits,F8,0,PCR_0000043,F5,20
CD7-2R,pSCIP_guideBaits,C2,0,PCR_0000043,F5,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,F5,40
pSCIP_CD2-2_gB_v4,E_pSCIP_coloniesinwater_384PP,C15,0,PCR_0000043,G5,800
CD2-2BR,pSCIP_guideBaits,G11,0,PCR_0000043,G5,20
CD2-2R,pSCIP_guideBaits,D5,0,PCR_0000043,G5,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,G5,40
pSCIP_CD7-2_gB_v4,E_pSCIP_coloniesinwater_384PP,C16,0,PCR_0000043,H5,800
CD7-2BR,pSCIP_guideBaits,F8,0,PCR_0000043,H5,20
CD7-2R,pSCIP_guideBaits,C2,0,PCR_0000043,H5,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,H5,40
pSCIP_CD2-3_gB_v1,E_pSCIP_coloniesinwater_384PP,C17,0,PCR_0000043,A6,800
CD2-3BR,pSCIP_guideBaits,G12,0,PCR_0000043,A6,20
CD2-3R,pSCIP_guideBaits,D6,0,PCR_0000043,A6,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,A6,40
pSCIP_CD7-3_gB_v1,E_pSCIP_coloniesinwater_384PP,C18,0,PCR_0000043,B6,800
CD7-3BR,pSCIP_guideBaits,F9,0,PCR_0000043,B6,20
CD7-3R,pSCIP_guideBaits,C3,0,PCR_0000043,B6,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,B6,40
pSCIP_CD2-3_gB_v2,E_pSCIP_coloniesinwater_384PP,C19,0,PCR_0000043,C6,800
CD2-3BR,pSCIP_guideBaits,G12,0,PCR_0000043,C6,20
CD2-3R,pSCIP_guideBaits,D6,0,PCR_0000043,C6,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,C6,40
pSCIP_CD7-3_gB_v2,E_pSCIP_coloniesinwater_384PP,C20,0,PCR_0000043,D6,800
CD7-3BR,pSCIP_guideBaits,F9,0,PCR_0000043,D6,20
CD7-3R,pSCIP_guideBaits,C3,0,PCR_0000043,D6,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,D6,40
pSCIP_CD2-3_gB_v3,E_pSCIP_coloniesinwater_384PP,C21,0,PCR_0000043,E6,800
CD2-3BR,pSCIP_guideBaits,G12,0,PCR_0000043,E6,20
CD2-3R,pSCIP_guideBaits,D6,0,PCR_0000043,E6,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,E6,40
pSCIP_CD7-3_gB_v3,E_pSCIP_coloniesinwater_384PP,C22,0,PCR_0000043,F6,800
CD7-3BR,pSCIP_guideBaits,F9,0,PCR_0000043,F6,20
CD7-3R,pSCIP_guideBaits,C3,0,PCR_0000043,F6,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,F6,40
pSCIP_CD2-3_gB_v4,E_pSCIP_coloniesinwater_384PP,C23,0,PCR_0000043,G6,800
CD2-3BR,pSCIP_guideBaits,G12,0,PCR_0000043,G6,20
CD2-3R,pSCIP_guideBaits,D6,0,PCR_0000043,G6,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,G6,40
pSCIP_CD7-3_gB_v4,E_pSCIP_coloniesinwater_384PP,C24,0,PCR_0000043,H6,800
CD7-3BR,pSCIP_guideBaits,F9,0,PCR_0000043,H6,20
CD7-3R,pSCIP_guideBaits,C3,0,PCR_0000043,H6,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,H6,40
pSCIP_CD247-1_gB_v1,E_pSCIP_coloniesinwater_384PP,E1,0,PCR_0000043,A7,800
CD247-1BR,pSCIP_guideBaits,G7,0,PCR_0000043,A7,20
CD247-1R,pSCIP_guideBaits,D1,0,PCR_0000043,A7,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,A7,40
pSCIP_CD8-1_gB_v1,E_pSCIP_coloniesinwater_384PP,E2,0,PCR_0000043,B7,800
CD8-1BR,pSCIP_guideBaits,E13,0,PCR_0000043,B7,20
CD8-1R,pSCIP_guideBaits,B7,0,PCR_0000043,B7,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,B7,40
pSCIP_CD247-1_gB_v2,E_pSCIP_coloniesinwater_384PP,E3,0,PCR_0000043,C7,800
CD247-1BR,pSCIP_guideBaits,G7,0,PCR_0000043,C7,20
