Part,Source Plate Name,Source Well,Destination ID,Destination Plate Name,Destination Well,Volume
Pd_000247,E_pSCIP_coloniesinwater_384PP,A1,0,PCR_0000043,A1,800
Pr_000898,pSCIP_guideBaits,F19,0,PCR_0000043,A1,20
Pr_000820,pSCIP_guideBaits,C13,0,PCR_0000043,A1,20
Pr_000975,pSCIP_guideBaits,P21,0,PCR_0000043,A1,40
Pd_000367,E_pSCIP_coloniesinwater_384PP,A2,0,PCR_0000043,B1,800
Pr_000883,pSCIP_guideBaits,F4,0,PCR_0000043,B1,20
Pr_000805,pSCIP_guideBaits,B22,0,PCR_0000043,B1,20
Pr_000975,pSCIP_guideBaits,P21,0,PCR_0000043,B1,40
Pd_000248,E_pSCIP_coloniesinwater_384PP,A3,0,PCR_0000043,C1,800
Pr_000898,pSCIP_guideBaits,F19,0,PCR_0000043,C1,20
Pr_000820,pSCIP_guideBaits,C13,0,PCR_0000043,C1,20
Pr_000975,pSCIP_guideBaits,P21,0,PCR_0000043,C1,40
Pd_000368,E_pSCIP_coloniesinwater_384PP,A4,0,PCR_0000043,D1,800
Pr_000883,pSCIP_guideBaits,F4,0,PCR_0000043,D1,20
Pr_000805,pSCIP_guideBaits,B22,0,PCR_0000043,D1,20
Pr_000975,pSCIP_guideBaits,P21,0,PCR_0000043,D1,40
Pd_000249,E_pSCIP_coloniesinwater_384PP,A5,0,PCR_0000043,E1,800
Pr_000898,pSCIP_guideBaits,F19,0,PCR_0000043,E1,20
Pr_000820,pSCIP_guideBaits,C13,0,PCR_0000043,E1,20
Pr_000975,pSCIP_guideBaits,P21,0,PCR_0000043,E1,40
Pd_000369,E_pSCIP_coloniesinwater_384PP,A6,0,PCR_0000043,F1,800
Pr_000883,pSCIP_guideBaits,F4,0,PCR_0000043,F1,20
Pr_000805,pSCIP_guideBaits,B22,0,PCR_0000043,F1,20
Pr_000975,pSCIP_guideBaits,P21,0,PCR_0000043,F1,40
Pd_000250,E_pSCIP_coloniesinwater_384PP,A7,0,PCR_0000043,G1,800
Pr_000898,pSCIP_guideBaits,F19,0,PCR_0000043,G1,20
Pr_000820,pSCIP_guideBaits,C13,0,PCR_0000043,G1,20
Pr_000975,pSCIP_guideBaits,P21,0,PCR_0000043,G1,40
Pd_000370,E_pSCIP_coloniesinwater_384PP,A8,0,PCR_0000043,H1,800
Pr_000883,pSCIP_guideBaits,F4,0,PCR_0000043,H1,20
Pr_000805,pSCIP_guideBaits,B22,0,PCR_0000043,H1,20
Pr_000975,pSCIP_guideBaits,P21,0,PCR_0000043,H1,40
Pd_000252,E_pSCIP_coloniesinwater_384PP,A9,0,PCR_0000043,A2,800
Pr_000899,pSCIP_guideBaits,F20,0,PCR_0000043,A2,20
Pr_000821,pSCIP_guideBaits,C14,0,PCR_0000043,A2,20
Pr_000975,pSCIP_guideBaits,P21,0,PCR_0000043,A2,40
Pd_000372,E_pSCIP_coloniesinwater_384PP,A10,0,PCR_0000043,B2,800
Pr_000884,pSCIP_guideBaits,F5,0,PCR_0000043,B2,20
Pr_000806,pSCIP_guideBaits,B23,0,PCR_0000043,B2,20
Pr_000975,pSCIP_guideBaits,P21,0,PCR_0000043,B2,40
Pd_000253,E_pSCIP_coloniesinwater_384PP,A11,0,PCR_0000043,C2,800
Pr_000899,pSCIP_guideBaits,F20,0,PCR_0000043,C2,20
Pr_000821,pSCIP_guideBaits,C14,0,PCR_0000043,C2,20
Pr_000975,pSCIP_guideBaits,P21,0,PCR_0000043,C2,40
Pd_000373,E_pSCIP_coloniesinwater_384PP,A12,0,PCR_0000043,D2,800
Pr_000884,pSCIP_guideBaits,F5,0,PCR_0000043,D2,20
Pr_000806,pSCIP_guideBaits,B23,0,PCR_0000043,D2,20
Pr_000975,pSCIP_guideBaits,P21,0,PCR_0000043,D2,40
Pd_000254,E_pSCIP_coloniesinwater_384PP,A13,0,PCR_0000043,E2,800
Pr_000899,pSCIP_guideBaits,F20,0,PCR_0000043,E2,20
Pr_000821,pSCIP_guideBaits,C14,0,PCR_0000043,E2,20
Pr_000975,pSCIP_guideBaits,P21,0,PCR_0000043,E2,40
Pd_000374,E_pSCIP_coloniesinwater_384PP,A14,0,PCR_0000043,F2,800
Pr_000884,pSCIP_guideBaits,F5,0,PCR_0000043,F2,20
Pr_000806,pSCIP_guideBaits,B23,0,PCR_0000043,F2,20
Pr_000975,pSCIP_guideBaits,P21,0,PCR_0000043,F2,40
Pd_000255,E_pSCIP_coloniesinwater_384PP,A15,0,PCR_0000043,G2,800
Pr_000899,pSCIP_guideBaits,F20,0,PCR_0000043,G2,20
Pr_000821,pSCIP_guideBaits,C14,0,PCR_0000043,G2,20
Pr_000975,pSCIP_guideBaits,P21,0,PCR_0000043,G2,40
Pd_000375,E_pSCIP_coloniesinwater_384PP,A16,0,PCR_0000043,H2,800
Pr_000884,pSCIP_guideBaits,F5,0,PCR_0000043,H2,20
Pr_000806,pSCIP_guideBaits,B23,0,PCR_0000043,H2,20
Pr_000975,pSCIP_guideBaits,P21,0,PCR_0000043,H2,40
Pd_000257,E_pSCIP_coloniesinwater_384PP,A17,0,PCR_0000043,A3,800
Pr_000900,pSCIP_guideBaits,F21,0,PCR_0000043,A3,20
Pr_000822,pSCIP_guideBaits,C15,0,PCR_0000043,A3,20
Pr_000975,pSCIP_guideBaits,P21,0,PCR_0000043,A3,40
Pd_000377,E_pSCIP_coloniesinwater_384PP,A18,0,PCR_0000043,B3,800
Pr_000885,pSCIP_guideBaits,F6,0,PCR_0000043,B3,20
Pr_000807,pSCIP_guideBaits,B24,0,PCR_0000043,B3,20
Pr_000975,pSCIP_guideBaits,P21,0,PCR_0000043,B3,40
Pd_000258,E_pSCIP_coloniesinwater_384PP,A19,0,PCR_0000043,C3,800
Pr_000900,pSCIP_guideBaits,F21,0,PCR_0000043,C3,20
Pr_000822,pSCIP_guideBaits,C15,0,PCR_0000043,C3,20
Pr_000975,pSCIP_guideBaits,P21,0,PCR_0000043,C3,40
Pd_000378,E_pSCIP_coloniesinwater_384PP,A20,0,PCR_0000043,D3,800
Pr_000885,pSCIP_guideBaits,F6,0,PCR_0000043,D3,20
Pr_000807,pSCIP_guideBaits,B24,0,PCR_0000043,D3,20
Pr_000975,pSCIP_guideBaits,P21,0,PCR_0000043,D3,40
Pd_000259,E_pSCIP_coloniesinwater_384PP,A21,0,PCR_0000043,E3,800
Pr_000900,pSCIP_guideBaits,F21,0,PCR_0000043,E3,20
Pr_000822,pSCIP_guideBaits,C15,0,PCR_0000043,E3,20
Pr_000975,pSCIP_guideBaits,P21,0,PCR_0000043,E3,40
Pd_000379,E_pSCIP_coloniesinwater_384PP,A22,0,PCR_0000043,F3,800
Pr_000885,pSCIP_guideBaits,F6,0,PCR_0000043,F3,20
Pr_000807,pSCIP_guideBaits,B24,0,PCR_0000043,F3,20
Pr_000975,pSCIP_guideBaits,P21,0,PCR_0000043,F3,40
Pd_000260,E_pSCIP_coloniesinwater_384PP,A23,0,PCR_0000043,G3,800
Pr_000900,pSCIP_guideBaits,F21,0,PCR_0000043,G3,20
Pr_000822,pSCIP_guideBaits,C15,0,PCR_0000043,G3,20
Pr_000975,pSCIP_guideBaits,P21,0,PCR_0000043,G3,40
Pd_000380,E_pSCIP_coloniesinwater_384PP,A24,0,PCR_0000043,H3,800
Pr_000885,pSCIP_guideBaits,F6,0,PCR_0000043,H3,20
Pr_000807,pSCIP_guideBaits,B24,0,PCR_0000043,H3,20
Pr_000975,pSCIP_guideBaits,P21,0,PCR_0000043,H3,40
Pd_000262,E_pSCIP_coloniesinwater_384PP,C1,0,PCR_0000043,A4,800
Pr_000913,pSCIP_guideBaits,G10,0,PCR_0000043,A4,20
Pr_000835,pSCIP_guideBaits,D4,0,PCR_0000043,A4,20
Pr_000975,pSCIP_guideBaits,P21,0,PCR_0000043,A4,40
Pd_000382,E_pSCIP_coloniesinwater_384PP,C2,0,PCR_0000043,B4,800
Pr_000886,pSCIP_guideBaits,F7,0,PCR_0000043,B4,20
Pr_000808,pSCIP_guideBaits,C1,0,PCR_0000043,B4,20
Pr_000975,pSCIP_guideBaits,P21,0,PCR_0000043,B4,40
Pd_000263,E_pSCIP_coloniesinwater_384PP,C3,0,PCR_0000043,C4,800
Pr_000913,pSCIP_guideBaits,G10,0,PCR_0000043,C4,20
Pr_000835,pSCIP_guideBaits,D4,0,PCR_0000043,C4,20
Pr_000975,pSCIP_guideBaits,P21,0,PCR_0000043,C4,40
Pd_000383,E_pSCIP_coloniesinwater_384PP,C4,0,PCR_0000043,D4,800
Pr_000886,pSCIP_guideBaits,F7,0,PCR_0000043,D4,20
Pr_000808,pSCIP_guideBaits,C1,0,PCR_0000043,D4,20
Pr_000975,pSCIP_guideBaits,P21,0,PCR_0000043,D4,40
Pd_000264,E_pSCIP_coloniesinwater_384PP,C5,0,PCR_0000043,E4,800
Pr_000913,pSCIP_guideBaits,G10,0,PCR_0000043,E4,20
Pr_000835,pSCIP_guideBaits,D4,0,PCR_0000043,E4,20
