Source ID,Source Plate Name,Source Well,Destination ID,Destination Plate Name,Destination Well,Volume
2,PlateS1,A1,3,PlateD1,A1,4
2,PlateS1,A2,3,PlateD1,A2,4
2,PlateS1,A3,3,PlateD1,A3,4
2,PlateS1,A4,3,PlateD1,A4,4
2,PlateS1,A5,3,PlateD1,A5,4
2,PlateS1,A6,3,PlateD1,A6,4
2,PlateS1,A7,3,PlateD1,A7,4
2,PlateS1,A8,3,PlateD1,A8,4
2,PlateS1,A9,3,PlateD1,A9,4
2,PlateS1,A10,3,PlateD1,A10,4
2,PlateS1,A11,3,PlateD1,A11,4
2,PlateS1,A12,3,PlateD1,A12,4
2,PlateS1,B1,3,PlateD1,B1,4
2,PlateS1,B2,3,PlateD1,B2,4
2,PlateS1,B3,3,PlateD1,B3,4
2,PlateS1,B4,3,PlateD1,B4,4
2,PlateS1,B5,3,PlateD1,B5,4
2,PlateS1,B6,3,PlateD1,B6,4
2,PlateS1,B7,3,PlateD1,B7,4
2,PlateS1,B8,3,PlateD1,B8,4
2,PlateS1,B9,3,PlateD1,B9,4
2,PlateS1,B10,3,PlateD1,B10,4
2,PlateS1,B11,3,PlateD1,B11,4
2,PlateS1,B12,3,PlateD1,B12,4
2,PlateS1,C1,3,PlateD1,C1,4
2,PlateS1,C2,3,PlateD1,C2,4
2,PlateS1,C3,3,PlateD1,C3,4
2,PlateS1,C4,3,PlateD1,C4,4
2,PlateS1,C5,3,PlateD1,C5,4
2,PlateS1,C6,3,PlateD1,C6,4
2,PlateS1,C7,3,PlateD1,C7,4
2,PlateS1,C8,3,PlateD1,C8,4
2,PlateS1,C9,3,PlateD1,C9,4
2,PlateS1,C10,3,PlateD1,C10,4
2,PlateS1,C11,3,PlateD1,C11,4
2,PlateS1,C12,3,PlateD1,C12,4
2,PlateS1,D1,3,PlateD1,D1,4
2,PlateS1,D2,3,PlateD1,D2,4
2,PlateS1,D3,3,PlateD1,D3,4
2,PlateS1,D4,3,PlateD1,D4,4
2,PlateS1,D5,3,PlateD1,D5,4
2,PlateS1,D6,3,PlateD1,D6,4
2,PlateS1,D7,3,PlateD1,D7,4
2,PlateS1,D8,3,PlateD1,D8,4
2,PlateS1,D9,3,PlateD1,D9,4
2,PlateS1,D10,3,PlateD1,D10,4
2,PlateS1,D11,3,PlateD1,D11,4
2,PlateS1,D12,3,PlateD1,D12,4
2,PlateS1,E1,3,PlateD1,E1,4
2,PlateS1,E2,3,PlateD1,E2,4
2,PlateS1,E3,3,PlateD1,E3,4
2,PlateS1,E4,3,PlateD1,E4,4
2,PlateS1,E5,3,PlateD1,E5,4
2,PlateS1,E6,3,PlateD1,E6,4
2,PlateS1,E7,3,PlateD1,E7,4
2,PlateS1,E8,3,PlateD1,E8,4
2,PlateS1,E9,3,PlateD1,E9,4
2,PlateS1,E10,3,PlateD1,E10,4
2,PlateS1,E11,3,PlateD1,E11,4
2,PlateS1,E12,3,PlateD1,E12,4
2,PlateS1,F1,3,PlateD1,F1,4
2,PlateS1,F2,3,PlateD1,F2,4
2,PlateS1,F3,3,PlateD1,F3,4
2,PlateS1,F4,3,PlateD1,F4,4
2,PlateS1,F5,3,PlateD1,F5,4
2,PlateS1,F6,3,PlateD1,F6,4
2,PlateS1,F7,3,PlateD1,F7,4
2,PlateS1,F8,3,PlateD1,F8,4
2,PlateS1,F9,3,PlateD1,F9,4
2,PlateS1,F10,3,PlateD1,F10,4
2,PlateS1,F11,3,PlateD1,F11,4
2,PlateS1,F12,3,PlateD1,F12,4
2,PlateS1,G1,3,PlateD1,G1,4
2,PlateS1,G2,3,PlateD1,G2,4
2,PlateS1,G3,3,PlateD1,G3,4
2,PlateS1,G4,3,PlateD1,G4,4
2,PlateS1,G5,3,PlateD1,G5,4
2,PlateS1,G6,3,PlateD1,G6,4
2,PlateS1,G7,3,PlateD1,G7,4
2,PlateS1,G8,3,PlateD1,G8,4
2,PlateS1,G9,3,PlateD1,G9,4
2,PlateS1,G10,3,PlateD1,G10,4
2,PlateS1,G11,3,PlateD1,G11,4
2,PlateS1,G12,3,PlateD1,G12,4
2,PlateS1,H1,3,PlateD1,H1,4
2,PlateS1,H2,3,PlateD1,H2,4
2,PlateS1,H3,3,PlateD1,H3,4
2,PlateS1,H4,3,PlateD1,H4,4
2,PlateS1,H5,3,PlateD1,H5,4
2,PlateS1,H6,3,PlateD1,H6,4
2,PlateS1,H7,3,PlateD1,H7,4
2,PlateS1,H8,3,PlateD1,H8,4
2,PlateS1,H9,3,PlateD1,H9,4
2,PlateS1,H10,3,PlateD1,H10,4
2,PlateS1,H11,3,PlateD1,H11,4
2,PlateS1,H12,3,PlateD1,H12,4
4,PlateS2,A1,5,PlateD2,A1,4
4,PlateS2,A2,5,PlateD2,A2,4
4,PlateS2,A3,5,PlateD2,A3,4
4,PlateS2,A4,5,PlateD2,A4,4
4,PlateS2,A5,5,PlateD2,A5,4
4,PlateS2,A6,5,PlateD2,A6,4
4,PlateS2,A7,5,PlateD2,A7,4
4,PlateS2,A8,5,PlateD2,A8,4
4,PlateS2,A9,5,PlateD2,A9,4
4,PlateS2,A10,5,PlateD2,A10,4
4,PlateS2,A11,5,PlateD2,A11,4
4,PlateS2,A12,5,PlateD2,A12,4
4,PlateS2,B1,5,PlateD2,B1,4
4,PlateS2,B2,5,PlateD2,B2,4
4,PlateS2,B3,5,PlateD2,B3,4
4,PlateS2,B4,5,PlateD2,B4,4
4,PlateS2,B5,5,PlateD2,B5,4
4,PlateS2,B6,5,PlateD2,B6,4
4,PlateS2,B7,5,PlateD2,B7,4
4,PlateS2,B8,5,PlateD2,B8,4
4,PlateS2,B9,5,PlateD2,B9,4
4,PlateS2,B10,5,PlateD2,B10,4
4,PlateS2,B11,5,PlateD2,B11,4
4,PlateS2,B12,5,PlateD2,B12,4
4,PlateS2,C1,5,PlateD2,C1,4
4,PlateS2,C2,5,PlateD2,C2,4
4,PlateS2,C3,5,PlateD2,C3,4
4,PlateS2,C4,5,PlateD2,C4,4
4,PlateS2,C5,5,PlateD2,C5,4
4,PlateS2,C6,5,PlateD2,C6,4
4,PlateS2,C7,5,PlateD2,C7,4
4,PlateS2,C8,5,PlateD2,C8,4
4,PlateS2,C9,5,PlateD2,C9,4
4,PlateS2,C10,5,PlateD2,C10,4
4,PlateS2,C11,5,PlateD2,C11,4
4,PlateS2,C12,5,PlateD2,C12,4
4,PlateS2,D1,5,PlateD2,D1,4
